"RowId","YearStart","YearEnd","LocationAbbr","LocationDesc","Datasource","Class","Topic","Question","Data_Value_Unit","DataValueTypeID","Data_Value_Type","Data_Value","Data_Value_Alt","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","StratificationCategory1","Stratification1","StratificationCategory2","Stratification2","Geolocation","ClassID","TopicID","QuestionID","LocationID","StratificationCategoryID1","StratificationID1","StratificationCategoryID2","StratificationID2"
"BRFSS~2016~2016~13~Q34~TOC09~AGE~SEX","2016","2016","GA","Georgia","BRFSS","Overall Health","Prevalence of sufficient sleep","Percentage of older adults getting sufficient sleep (>6 hours)","%","PRCTG","Percentage","75.3","75.3",,,"71.2","79.1","Age Group","65 years or older","Sex","Male","POINT (-83.62758034599966 32.83968109300048)","C01","TOC09","Q34","13","AGE","65PLUS","SEX","MALE"
"BRFSS~2016~2016~13~Q03~TMC01~AGE~SEX","2016","2016","GA","Georgia","BRFSS","Mental Health","Frequent mental distress","Percentage of older adults who are experiencing frequent mental distress","%","PRCTG","Percentage","10.0","10.0",,,"8.0","12.5","Age Group","Overall","Sex","Male","POINT (-83.62758034599966 32.83968109300048)","C05","TMC01","Q03","13","AGE","AGE_OVERALL","SEX","MALE"
"BRFSS~2016~2016~13~Q21~TAC03~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Smoking and Alcohol Use","Binge drinking within past 30 days","Percentage of older adults who reported binge drinking within the past 30 days","%","PRCTG","Percentage","13.2","13.2",,,"10.6","16.4","Age Group","50-64 years","Race/Ethnicity","White, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C04","TAC03","Q21","13","AGE","5064","RACE","WHT"
"BRFSS~2016~2016~13~Q17~TAC01~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Smoking and Alcohol Use","Current smoking","Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","Overall","Race/Ethnicity","Hispanic","POINT (-83.62758034599966 32.83968109300048)","C04","TAC01","Q17","13","AGE","AGE_OVERALL","RACE","HIS"
"BRFSS~2016~2016~13~Q33~TOC08~AGE~SEX","2016","2016","GA","Georgia","BRFSS","Overall Health","Self-rated health (good to excellent health)","Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""","%","PRCTG","Percentage","73.4","73.4",,,"70.8","75.8","Age Group","Overall","Sex","Female","POINT (-83.62758034599966 32.83968109300048)","C01","TOC08","Q33","13","AGE","AGE_OVERALL","SEX","FEMALE"
"BRFSS~2016~2016~13~Q20~TSC03~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Screenings and Vaccines","Pap test within past 3 years","Percentage of older adult women with an intact cervix who had a Pap test within the past 3 years","%","PRCTG","Percentage","75.6","75.6",,,"69.4","81.0","Age Group","50-64 years","Race/Ethnicity","White, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C03","TSC03","Q20","13","AGE","5064","RACE","WHT"
"BRFSS~2016~2016~13~Q40~TGC05~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Caregiving","Provide care for someone with cognitive impairment within the past month","Percentage of older adults who provided care for someone with dementia or other cognitive impairment within the past month","%","PRCTG","Percentage","7.7","7.7",,,"5.4","10.9","Age Group","Overall","Race/Ethnicity","White, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C07","TGC05","Q40","13","AGE","AGE_OVERALL","RACE","WHT"
"BRFSS~2016~2016~13~Q16~TNC03~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Nutrition/Physical Activity/Obesity","No leisure-time physical activity within past month","Percentage of older adults who have not had any leisure time physical activity in the past month","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","50-64 years","Race/Ethnicity","Native Am/Alaskan Native","POINT (-83.62758034599966 32.83968109300048)","C02","TNC03","Q16","13","AGE","5064","RACE","NAA"
"BRFSS~2016~2016~13~Q18~TSC08~AGE~SEX","2016","2016","GA","Georgia","BRFSS","Screenings and Vaccines","Influenza vaccine within past year","Percentage of older adults who reported influenza vaccine within the past year","%","PRCTG","Percentage","42.4","42.4",,,"39.1","45.8","Age Group","Overall","Sex","Male","POINT (-83.62758034599966 32.83968109300048)","C03","TSC08","Q18","13","AGE","AGE_OVERALL","SEX","MALE"
"BRFSS~2016~2016~13~Q18~TSC08~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Screenings and Vaccines","Influenza vaccine within past year","Percentage of older adults who reported influenza vaccine within the past year","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","65 years or older","Race/Ethnicity","Native Am/Alaskan Native","POINT (-83.62758034599966 32.83968109300048)","C03","TSC08","Q18","13","AGE","65PLUS","RACE","NAA"
"BRFSS~2016~2016~13~Q08~TOC01~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Overall Health","Physically unhealthy days (mean number of days)","Physically unhealthy days (mean number of days in past month)","Number","MEAN","Mean",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","50-64 years","Race/Ethnicity","Asian/Pacific Islander","POINT (-83.62758034599966 32.83968109300048)","C01","TOC01","Q08","13","AGE","5064","RACE","ASN"
"BRFSS~2016~2016~13~Q40~TGC05~AGE~SEX","2016","2016","GA","Georgia","BRFSS","Caregiving","Provide care for someone with cognitive impairment within the past month","Percentage of older adults who provided care for someone with dementia or other cognitive impairment within the past month","%","PRCTG","Percentage","9.3","9.3",,,"5.6","15.2","Age Group","65 years or older","Sex","Female","POINT (-83.62758034599966 32.83968109300048)","C07","TGC05","Q40","13","AGE","65PLUS","SEX","FEMALE"
"BRFSS~2016~2016~13~Q07~TOC05~AGE~SEX","2016","2016","GA","Georgia","BRFSS","Overall Health","Oral health:  tooth retention","Percentage of older adults who report having lost 5 or fewer teeth due to decay or gum disease","%","PRCTG","Percentage","62.2","62.2",,,"59.4","64.9","Age Group","Overall","Sex","Female","POINT (-83.62758034599966 32.83968109300048)","C01","TOC05","Q07","13","AGE","AGE_OVERALL","SEX","FEMALE"
"BRFSS~2016~2016~13~Q11~TSC11~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Screenings and Vaccines","Up-to-date with recommended vaccines and screenings - Women","Percentage of older adult women who are up to date with select clinical preventive services","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","Overall","Race/Ethnicity","Hispanic","POINT (-83.62758034599966 32.83968109300048)","C03","TSC11","Q11","13","AGE","AGE_OVERALL","RACE","HIS"
"BRFSS~2016~2016~13~Q21~TAC03~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Smoking and Alcohol Use","Binge drinking within past 30 days","Percentage of older adults who reported binge drinking within the past 30 days","%","PRCTG","Percentage",,,"~","No Data Available",,,"Age Group","Overall","Race/Ethnicity","Native Am/Alaskan Native","POINT (-83.62758034599966 32.83968109300048)","C04","TAC03","Q21","13","AGE","AGE_OVERALL","RACE","NAA"
"BRFSS~2016~2016~13~Q46~TOC10~AGE~SEX","2016","2016","GA","Georgia","BRFSS","Overall Health","Disability status, including sensory or mobility limitations","Percentage of older adults who report having a disability (includes limitations related to sensory or mobility impairments or a physical, mental, or emotional condition)","%","PRCTG","Percentage","36.6","36.6",,,"32.6","40.8","Age Group","50-64 years","Sex","Female","POINT (-83.62758034599966 32.83968109300048)","C01","TOC10","Q46","13","AGE","5064","SEX","FEMALE"
"BRFSS~2016~2016~13~Q32~TOC07~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Overall Health","Self-rated health (fair to poor health)","Percentage of older adults who self-reported that their health is ""fair"" or ""poor""","%","PRCTG","Percentage","23.9","23.9",,,"21.7","26.1","Age Group","Overall","Race/Ethnicity","White, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C01","TOC07","Q32","13","AGE","AGE_OVERALL","RACE","WHT"
"BRFSS~2016~2016~13~Q34~TOC09~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Overall Health","Prevalence of sufficient sleep","Percentage of older adults getting sufficient sleep (>6 hours)","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","Overall","Race/Ethnicity","Native Am/Alaskan Native","POINT (-83.62758034599966 32.83968109300048)","C01","TOC09","Q34","13","AGE","AGE_OVERALL","RACE","NAA"
"BRFSS~2016~2016~13~Q15~TSC02~AGE~SEX","2016","2016","GA","Georgia","BRFSS","Screenings and Vaccines","Colorectal cancer screening","Percentage of older adults who had either a home blood stool test within the past year or a sigmoidoscopy or colonoscopy within the past 10 years","%","PRCTG","Percentage","64.2","64.2",,,"61.3","67.0","Age Group","Overall","Sex","Female","POINT (-83.62758034599966 32.83968109300048)","C03","TSC02","Q15","13","AGE","AGE_OVERALL","SEX","FEMALE"
"BRFSS~2016~2016~13~Q35~TOC03~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Overall Health","Recent activity limitations in past month","Mean number of days with activity limitations in the past month","Number","MEAN","Mean",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","65 years or older","Race/Ethnicity","Asian/Pacific Islander","POINT (-83.62758034599966 32.83968109300048)","C01","TOC03","Q35","13","AGE","65PLUS","RACE","ASN"
"BRFSS~2016~2016~13~Q39~TGC04~AGE~OVERALL","2016","2016","GA","Georgia","BRFSS","Caregiving","Intensity of caregiving among older adults","Average of 20 or more hours of care per week provided to a friend or family member","%","PRCTG","Percentage","35.2","35.2",,,"29.2","41.7","Age Group","50-64 years",,,"POINT (-83.62758034599966 32.83968109300048)","C07","TGC04","Q39","13","AGE","5064","OVERALL","OVERALL"
"BRFSS~2016~2016~13~Q27~TMC03~AGE~SEX","2016","2016","GA","Georgia","BRFSS","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","%","PRCTG","Percentage","21.5","21.5",,,"19.3","24.0","Age Group","Overall","Sex","Female","POINT (-83.62758034599966 32.83968109300048)","C05","TMC03","Q27","13","AGE","AGE_OVERALL","SEX","FEMALE"
"BRFSS~2016~2016~13~Q34~TOC09~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Overall Health","Prevalence of sufficient sleep","Percentage of older adults getting sufficient sleep (>6 hours)","%","PRCTG","Percentage","66.8","66.8",,,"63.0","70.4","Age Group","50-64 years","Race/Ethnicity","White, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C01","TOC09","Q34","13","AGE","5064","RACE","WHT"
"BRFSS~2016~2016~13~Q40~TGC05~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Caregiving","Provide care for someone with cognitive impairment within the past month","Percentage of older adults who provided care for someone with dementia or other cognitive impairment within the past month","%","PRCTG","Percentage",,,"~","No Data Available",,,"Age Group","Overall","Race/Ethnicity","Native Am/Alaskan Native","POINT (-83.62758034599966 32.83968109300048)","C07","TGC05","Q40","13","AGE","AGE_OVERALL","RACE","NAA"
"BRFSS~2016~2016~13~Q07~TOC05~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Overall Health","Oral health:  tooth retention","Percentage of older adults who report having lost 5 or fewer teeth due to decay or gum disease","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","65 years or older","Race/Ethnicity","Hispanic","POINT (-83.62758034599966 32.83968109300048)","C01","TOC05","Q07","13","AGE","65PLUS","RACE","HIS"
"BRFSS~2016~2016~13~Q46~TOC10~AGE~SEX","2016","2016","GA","Georgia","BRFSS","Overall Health","Disability status, including sensory or mobility limitations","Percentage of older adults who report having a disability (includes limitations related to sensory or mobility impairments or a physical, mental, or emotional condition)","%","PRCTG","Percentage","35.0","35.0",,,"31.8","38.4","Age Group","Overall","Sex","Male","POINT (-83.62758034599966 32.83968109300048)","C01","TOC10","Q46","13","AGE","AGE_OVERALL","SEX","MALE"
"BRFSS~2016~2016~13~Q46~TOC10~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Overall Health","Disability status, including sensory or mobility limitations","Percentage of older adults who report having a disability (includes limitations related to sensory or mobility impairments or a physical, mental, or emotional condition)","%","PRCTG","Percentage","47.4","47.4",,,"32.1","63.2","Age Group","50-64 years","Race/Ethnicity","Hispanic","POINT (-83.62758034599966 32.83968109300048)","C01","TOC10","Q46","13","AGE","5064","RACE","HIS"
"BRFSS~2016~2016~13~Q35~TOC03~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Overall Health","Recent activity limitations in past month","Mean number of days with activity limitations in the past month","Number","MEAN","Mean","6.3","6.3",,,"5.0","7.5","Age Group","Overall","Race/Ethnicity","Black, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C01","TOC03","Q35","13","AGE","AGE_OVERALL","RACE","BLK"
"BRFSS~2016~2016~13~Q03~TMC01~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Mental Health","Frequent mental distress","Percentage of older adults who are experiencing frequent mental distress","%","PRCTG","Percentage","10.8","10.8",,,"8.0","14.6","Age Group","Overall","Race/Ethnicity","Black, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C05","TMC01","Q03","13","AGE","AGE_OVERALL","RACE","BLK"
"BRFSS~2016~2016~13~Q38~TGC03~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Caregiving","Duration of caregiving among older adults","Percentage of older adults who provided care to a friend or family member for six months or more","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","Overall","Race/Ethnicity","Hispanic","POINT (-83.62758034599966 32.83968109300048)","C07","TGC03","Q38","13","AGE","AGE_OVERALL","RACE","HIS"
"BRFSS~2016~2016~13~Q11~TSC11~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Screenings and Vaccines","Up-to-date with recommended vaccines and screenings - Women","Percentage of older adult women who are up to date with select clinical preventive services","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","Overall","Race/Ethnicity","Native Am/Alaskan Native","POINT (-83.62758034599966 32.83968109300048)","C03","TSC11","Q11","13","AGE","AGE_OVERALL","RACE","NAA"
"BRFSS~2016~2016~13~Q16~TNC03~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Nutrition/Physical Activity/Obesity","No leisure-time physical activity within past month","Percentage of older adults who have not had any leisure time physical activity in the past month","%","PRCTG","Percentage","34.5","34.5",,,"32.1","36.9","Age Group","Overall","Race/Ethnicity","White, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C02","TNC03","Q16","13","AGE","AGE_OVERALL","RACE","WHT"
"BRFSS~2016~2016~13~Q05~TOC06~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Overall Health","Fall with injury within last year","Percentage of older adults who have fallen and sustained an injury within last year","%","PRCTG","Percentage",,,"~","No Data Available",,,"Age Group","65 years or older","Race/Ethnicity","Asian/Pacific Islander","POINT (-83.62758034599966 32.83968109300048)","C01","TOC06","Q05","13","AGE","65PLUS","RACE","ASN"
"BRFSS~2016~2016~13~Q33~TOC08~AGE~SEX","2016","2016","GA","Georgia","BRFSS","Overall Health","Self-rated health (good to excellent health)","Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""","%","PRCTG","Percentage","72.9","72.9",,,"68.6","76.9","Age Group","65 years or older","Sex","Male","POINT (-83.62758034599966 32.83968109300048)","C01","TOC08","Q33","13","AGE","65PLUS","SEX","MALE"
"BRFSS~2016~2016~13~Q21~TAC03~AGE~SEX","2016","2016","GA","Georgia","BRFSS","Smoking and Alcohol Use","Binge drinking within past 30 days","Percentage of older adults who reported binge drinking within the past 30 days","%","PRCTG","Percentage","7.6","7.6",,,"5.6","10.4","Age Group","50-64 years","Sex","Female","POINT (-83.62758034599966 32.83968109300048)","C04","TAC03","Q21","13","AGE","5064","SEX","FEMALE"
"BRFSS~2016~2016~13~Q09~TSC09~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Screenings and Vaccines","Ever had pneumococcal vaccine","Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine","%","PRCTG","Percentage","64.8","64.8",,,"61.7","67.7","Age Group","Overall","Race/Ethnicity","White, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C03","TSC09","Q09","13","AGE","AGE_OVERALL","RACE","WHT"
"BRFSS~2016~2016~13~Q13~TNC04~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Nutrition/Physical Activity/Obesity","Obesity","Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more","%","PRCTG","Percentage","35.9","35.9",,,"22.9","51.3","Age Group","Overall","Race/Ethnicity","Hispanic","POINT (-83.62758034599966 32.83968109300048)","C02","TNC04","Q13","13","AGE","AGE_OVERALL","RACE","HIS"
"BRFSS~2016~2016~13~Q37~TGC02~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Caregiving","Expect to provide care for someone in the next two years","Percentage of older adults currently not providing care who expect to provide care for someone with health problems in the next two years","%","PRCTG","Percentage","18.9","18.9",,,"12.7","27.2","Age Group","65 years or older","Race/Ethnicity","Black, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C07","TGC02","Q37","13","AGE","65PLUS","RACE","BLK"
"BRFSS~2016~2016~13~Q33~TOC08~AGE~OVERALL","2016","2016","GA","Georgia","BRFSS","Overall Health","Self-rated health (good to excellent health)","Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""","%","PRCTG","Percentage","74.1","74.1",,,"71.5","76.4","Age Group","65 years or older",,,"POINT (-83.62758034599966 32.83968109300048)","C01","TOC08","Q33","13","AGE","65PLUS","OVERALL","OVERALL"
"BRFSS~2016~2016~13~Q27~TMC03~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","%","PRCTG","Percentage","19.0","19.0",,,"17.1","21.2","Age Group","Overall","Race/Ethnicity","White, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C05","TMC03","Q27","13","AGE","AGE_OVERALL","RACE","WHT"
"BRFSS~2016~2016~13~Q27~TMC03~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","65 years or older","Race/Ethnicity","Hispanic","POINT (-83.62758034599966 32.83968109300048)","C05","TMC03","Q27","13","AGE","65PLUS","RACE","HIS"
"BRFSS~2016~2016~13~Q15~TSC02~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Screenings and Vaccines","Colorectal cancer screening","Percentage of older adults who had either a home blood stool test within the past year or a sigmoidoscopy or colonoscopy within the past 10 years","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","65 years or older","Race/Ethnicity","Asian/Pacific Islander","POINT (-83.62758034599966 32.83968109300048)","C03","TSC02","Q15","13","AGE","65PLUS","RACE","ASN"
"BRFSS~2016~2016~13~Q36~TGC01~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Caregiving","Provide care for a friend or family member in past month","Percentage of older adults who provided care for a friend or family member within the past month","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","Overall","Race/Ethnicity","Hispanic","POINT (-83.62758034599966 32.83968109300048)","C07","TGC01","Q36","13","AGE","AGE_OVERALL","RACE","HIS"
"BRFSS~2016~2016~13~Q07~TOC05~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Overall Health","Oral health:  tooth retention","Percentage of older adults who report having lost 5 or fewer teeth due to decay or gum disease","%","PRCTG","Percentage","68.5","68.5",,,"66.0","70.9","Age Group","Overall","Race/Ethnicity","White, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C01","TOC05","Q07","13","AGE","AGE_OVERALL","RACE","WHT"
"BRFSS~2016~2016~13~Q15~TSC02~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Screenings and Vaccines","Colorectal cancer screening","Percentage of older adults who had either a home blood stool test within the past year or a sigmoidoscopy or colonoscopy within the past 10 years","%","PRCTG","Percentage","60.9","60.9",,,"54.6","66.8","Age Group","50-64 years","Race/Ethnicity","Black, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C03","TSC02","Q15","13","AGE","5064","RACE","BLK"
"BRFSS~2016~2016~13~Q05~TOC06~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Overall Health","Fall with injury within last year","Percentage of older adults who have fallen and sustained an injury within last year","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","Overall","Race/Ethnicity","Native Am/Alaskan Native","POINT (-83.62758034599966 32.83968109300048)","C01","TOC06","Q05","13","AGE","AGE_OVERALL","RACE","NAA"
"BRFSS~2016~2016~13~Q08~TOC01~AGE~SEX","2016","2016","GA","Georgia","BRFSS","Overall Health","Physically unhealthy days (mean number of days)","Physically unhealthy days (mean number of days in past month)","Number","MEAN","Mean","4.6","4.6",,,"4.0","5.3","Age Group","Overall","Sex","Male","POINT (-83.62758034599966 32.83968109300048)","C01","TOC01","Q08","13","AGE","AGE_OVERALL","SEX","MALE"
"BRFSS~2016~2016~13~Q16~TNC03~AGE~OVERALL","2016","2016","GA","Georgia","BRFSS","Nutrition/Physical Activity/Obesity","No leisure-time physical activity within past month","Percentage of older adults who have not had any leisure time physical activity in the past month","%","PRCTG","Percentage","35.7","35.7",,,"33.7","37.8","Age Group","Overall",,,"POINT (-83.62758034599966 32.83968109300048)","C02","TNC03","Q16","13","AGE","AGE_OVERALL","OVERALL","OVERALL"
"BRFSS~2016~2016~13~Q27~TMC03~AGE~OVERALL","2016","2016","GA","Georgia","BRFSS","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","%","PRCTG","Percentage","18.2","18.2",,,"16.6","20.0","Age Group","Overall",,,"POINT (-83.62758034599966 32.83968109300048)","C05","TMC03","Q27","13","AGE","AGE_OVERALL","OVERALL","OVERALL"
"BRFSS~2016~2016~13~Q11~TSC11~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Screenings and Vaccines","Up-to-date with recommended vaccines and screenings - Women","Percentage of older adult women who are up to date with select clinical preventive services","%","PRCTG","Percentage","45.7","45.7",,,"41.6","49.9","Age Group","65 years or older","Race/Ethnicity","White, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C03","TSC11","Q11","13","AGE","65PLUS","RACE","WHT"
"BRFSS~2016~2016~13~Q34~TOC09~AGE~SEX","2016","2016","GA","Georgia","BRFSS","Overall Health","Prevalence of sufficient sleep","Percentage of older adults getting sufficient sleep (>6 hours)","%","PRCTG","Percentage","68.2","68.2",,,"64.8","71.3","Age Group","Overall","Sex","Male","POINT (-83.62758034599966 32.83968109300048)","C01","TOC09","Q34","13","AGE","AGE_OVERALL","SEX","MALE"
"BRFSS~2016~2016~13~Q18~TSC08~AGE~OVERALL","2016","2016","GA","Georgia","BRFSS","Screenings and Vaccines","Influenza vaccine within past year","Percentage of older adults who reported influenza vaccine within the past year","%","PRCTG","Percentage","44.9","44.9",,,"42.7","47.1","Age Group","Overall",,,"POINT (-83.62758034599966 32.83968109300048)","C03","TSC08","Q18","13","AGE","AGE_OVERALL","OVERALL","OVERALL"
"BRFSS~2016~2016~13~Q07~TOC05~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Overall Health","Oral health:  tooth retention","Percentage of older adults who report having lost 5 or fewer teeth due to decay or gum disease","%","PRCTG","Percentage","62.4","62.4",,,"56.4","68.1","Age Group","50-64 years","Race/Ethnicity","Black, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C01","TOC05","Q07","13","AGE","5064","RACE","BLK"
"BRFSS~2016~2016~13~Q34~TOC09~AGE~OVERALL","2016","2016","GA","Georgia","BRFSS","Overall Health","Prevalence of sufficient sleep","Percentage of older adults getting sufficient sleep (>6 hours)","%","PRCTG","Percentage","72.2","72.2",,,"69.7","74.7","Age Group","65 years or older",,,"POINT (-83.62758034599966 32.83968109300048)","C01","TOC09","Q34","13","AGE","65PLUS","OVERALL","OVERALL"
"BRFSS~2016~2016~13~Q35~TOC03~AGE~SEX","2016","2016","GA","Georgia","BRFSS","Overall Health","Recent activity limitations in past month","Mean number of days with activity limitations in the past month","Number","MEAN","Mean","6.2","6.2",,,"5.2","7.2","Age Group","65 years or older","Sex","Female","POINT (-83.62758034599966 32.83968109300048)","C01","TOC03","Q35","13","AGE","65PLUS","SEX","FEMALE"
"BRFSS~2016~2016~13~Q16~TNC03~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Nutrition/Physical Activity/Obesity","No leisure-time physical activity within past month","Percentage of older adults who have not had any leisure time physical activity in the past month","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","65 years or older","Race/Ethnicity","Hispanic","POINT (-83.62758034599966 32.83968109300048)","C02","TNC03","Q16","13","AGE","65PLUS","RACE","HIS"
"BRFSS~2016~2016~13~Q38~TGC03~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Caregiving","Duration of caregiving among older adults","Percentage of older adults who provided care to a friend or family member for six months or more","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","50-64 years","Race/Ethnicity","Native Am/Alaskan Native","POINT (-83.62758034599966 32.83968109300048)","C07","TGC03","Q38","13","AGE","5064","RACE","NAA"
"BRFSS~2016~2016~13~Q18~TSC08~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Screenings and Vaccines","Influenza vaccine within past year","Percentage of older adults who reported influenza vaccine within the past year","%","PRCTG","Percentage","32.9","32.9",,,"27.5","38.7","Age Group","50-64 years","Race/Ethnicity","Black, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C03","TSC08","Q18","13","AGE","5064","RACE","BLK"
"BRFSS~2016~2016~13~Q10~TSC10~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Screenings and Vaccines","Up-to-date with recommended vaccines and screenings - Men","Percentage of older adult men who are up to date with select clinical preventive services","%","PRCTG","Percentage","15.3","15.3",,,"10.2","22.4","Age Group","50-64 years","Race/Ethnicity","Black, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C03","TSC10","Q10","13","AGE","5064","RACE","BLK"
"BRFSS~2016~2016~13~Q37~TGC02~AGE~OVERALL","2016","2016","GA","Georgia","BRFSS","Caregiving","Expect to provide care for someone in the next two years","Percentage of older adults currently not providing care who expect to provide care for someone with health problems in the next two years","%","PRCTG","Percentage","16.9","16.9",,,"14.1","20.2","Age Group","50-64 years",,,"POINT (-83.62758034599966 32.83968109300048)","C07","TGC02","Q37","13","AGE","5064","OVERALL","OVERALL"
"BRFSS~2016~2016~13~Q40~TGC05~AGE~RACE","2016","2016","GA","Georgia","BRFSS","Caregiving","Provide care for someone with cognitive impairment within the past month","Percentage of older adults who provided care for someone with dementia or other cognitive impairment within the past month","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","65 years or older","Race/Ethnicity","Black, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C07","TGC05","Q40","13","AGE","65PLUS","RACE","BLK"
